team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
266.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Fluminense
262.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,Flamengo
275.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Palmeiras
264.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,Corinthians
283.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Cruzeiro
294.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Coritiba
284.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Grêmio
265.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Bahia
303.0,1,3,3,1,0.0,0.0,0.0,0.0,0.0,Ponte Preta
314.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,Avaí
263.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Botafogo
267.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Vasco
277.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Santos
276.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,São Paulo
282.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,Atlético-MG
293.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético-PR
292.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Sport
287.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,Vitória
373.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,Atlético-GO
315.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,Chapecoense
266.0,2,3,6,0,2.0,3.0,1.5,1.0,0.0,Fluminense
262.0,2,3,4,0,1.0,1.0,0.5,0.5,0.0,Flamengo
275.0,2,0,3,0,0.0,4.0,2.0,0.0,1.0,Palmeiras
264.0,2,3,4,0,1.0,3.0,1.5,0.5,0.0,Corinthians
283.0,2,1,4,0,0.0,1.0,0.5,0.0,1.0,Cruzeiro
294.0,2,0,3,0,1.0,4.0,2.0,0.5,0.0,Coritiba
284.0,2,3,6,0,0.0,2.0,1.0,0.0,1.0,Grêmio
265.0,2,0,3,0,2.0,6.0,3.0,1.0,0.0,Bahia
303.0,2,0,3,0,0.0,2.0,1.0,0.0,1.0,Ponte Preta
314.0,2,0,1,0,0.0,0.0,0.0,0.0,1.0,Avaí
263.0,2,3,3,1,2.0,0.0,0.0,1.0,0.0,Botafogo
