team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
315.0,11,3,16,1,10,9,0.8181818181818182,0.9090909090909091,4,Chapecoense
266.0,11,1,21,0,10,13,1.1818181818181819,0.9090909090909091,6,Fluminense
276.0,11,1,18,1,11,12,1.0909090909090908,1.0,5,São Paulo
283.0,11,3,13,1,10,10,0.9090909090909091,0.9090909090909091,2,Cruzeiro
293.0,11,0,19,0,12,14,1.2727272727272727,1.0909090909090908,4,Atlético-PR
292.0,11,1,23,0,10,19,1.7272727272727273,0.9090909090909091,4,Sport
267.0,11,0,9,0,15,5,0.45454545454545453,1.3636363636363635,4,Vasco
284.0,11,3,23,0,12,16,1.4545454545454546,1.0909090909090908,3,Grêmio
314.0,11,1,13,1,15,11,1.0,1.3636363636363635,1,Avaí
294.0,11,1,8,1,14,6,0.5454545454545454,1.2727272727272727,3,Coritiba
290.0,11,1,10,1,10,6,0.5454545454545454,0.9090909090909091,5,Goiás
264.0,11,1,20,0,8,10,0.9090909090909091,0.7272727272727273,6,Corinthians
262.0,11,0,10,1,15,9,0.8181818181818182,1.3636363636363635,3,Flamengo
277.0,11,0,10,1,15,11,1.0,1.3636363636363635,2,Santos
282.0,11,3,23,0,9,20,1.8181818181818181,0.8181818181818182,4,Atlético-MG
215.0,11,1,5,0,14,3,0.2727272727272727,1.2727272727272727,2,Joinville
303.0,11,0,16,1,14,14,1.2727272727272727,1.2727272727272727,3,Ponte Preta
285.0,11,0,13,1,13,8,0.7272727272727273,1.1818181818181819,5,Internacional
316.0,11,3,15,0,13,11,1.0,1.1818181818181819,1,Figueirense
275.0,12,3,21,1,8,20,1.6666666666666667,0.6666666666666666,6,Palmeiras
315.0,12,3,19,1,10,10,0.8333333333333334,0.8333333333333334,5,Chapecoense
266.0,12,3,24,1,10,14,1.1666666666666667,0.8333333333333334,7,Fluminense
276.0,12,3,21,0,11,16,1.3333333333333333,0.9166666666666666,6,São Paulo
283.0,12,0,13,0,11,10,0.8333333333333334,0.9166666666666666,2,Cruzeiro
293.0,12,0,19,0,14,14,1.1666666666666667,1.1666666666666667,4,Atlético-PR
292.0,12,0,23,0,12,20,1.6666666666666667,1.0,4,Sport
267.0,12,0,9,1,19,5,0.4166666666666667,1.5833333333333333,4,Vasco
284.0,12,0,23,0,13,16,1.3333333333333333,1.0833333333333333,3,Grêmio
314.0,12,0,13,0,18,11,0.9166666666666666,1.5,1,Avaí
294.0,12,1,9,1,14,6,0.5,1.1666666666666667,4,Coritiba
290.0,12,3,13,1,11,10,0.8333333333333334,0.9166666666666666,5,Goiás
264.0,12,3,23,1,8,12,1.0,0.6666666666666666,7,Corinthians
262.0,12,3,13,0,16,11,0.9166666666666666,1.3333333333333333,3,Flamengo
277.0,12,0,10,0,19,12,1.0,1.5833333333333333,2,Santos
282.0,12,3,26,1,10,21,1.75,0.8333333333333334,4,Atlético-MG
215.0,12,3,8,0,14,5,0.4166666666666667,1.1666666666666667,3,Joinville
303.0,12,1,17,0,14,14,1.1666666666666667,1.1666666666666667,4,Ponte Preta
285.0,12,0,13,1,15,9,0.75,1.25,5,Internacional
316.0,12,0,15,1,15,11,0.9166666666666666,1.25,1,Figueirense
275.0,13,1,22,0,10,22,1.6923076923076923,0.7692307692307693,6,Palmeiras
315.0,13,0,19,0,12,11,0.8461538461538461,0.9230769230769231,5,Chapecoense
266.0,13,3,27,0,11,17,1.3076923076923077,0.8461538461538461,7,Fluminense
276.0,13,3,24,1,12,19,1.4615384615384615,0.9230769230769231,6,São Paulo
283.0,13,3,16,1,11,11,0.8461538461538461,0.8461538461538461,3,Cruzeiro
293.0,13,0,19,1,16,14,1.0769230769230769,1.2307692307692308,4,Atlético-PR
292.0,13,1,24,1,14,22,1.6923076923076923,1.0769230769230769,4,Sport
267.0,13,0,9,0,21,5,0.38461538461538464,1.6153846153846154,4,Vasco
284.0,13,3,26,1,13,17,1.3076923076923077,1.0,4,Grêmio
314.0,13,3,16,1,19,13,1.0,1.4615384615384615,1,Avaí
294.0,13,0,9,0,17,6,0.46153846153846156,1.3076923076923077,4,Coritiba
290.0,13,0,13,0,12,10,0.7692307692307693,0.9230769230769231,5,Goiás
264.0,13,3,26,0,8,15,1.1538461538461537,0.6153846153846154,9,Corinthians
262.0,13,0,13,1,19,11,0.8461538461538461,1.4615384615384615,3,Flamengo
277.0,13,3,13,1,19,13,1.0,1.4615384615384615,3,Santos
282.0,13,3,29,0,10,23,1.7692307692307692,0.7692307692307693,5,Atlético-MG
215.0,13,0,8,1,16,5,0.38461538461538464,1.2307692307692308,3,Joinville
303.0,13,0,17,1,16,10,0.7692307692307693,1.2307692307692308,4,Ponte Preta
285.0,13,3,16,0,15,11,0.8461538461538461,1.1538461538461537,6,Internacional
316.0,13,0,15,0,18,11,0.8461538461538461,1.3846153846153846,1,Figueirense
275.0,14,3,25,1,10,23,1.6428571428571428,0.7142857142857143,7,Palmeiras
315.0,14,0,19,0,13,11,0.7857142857142857,0.9285714285714286,5,Chapecoense
266.0,14,0,27,1,13,17,1.2142857142857142,0.9285714285714286,7,Fluminense
276.0,14,0,24,0,14,17,1.2142857142857142,1.0,6,São Paulo
283.0,14,1,17,1,12,12,0.8571428571428571,0.8571428571428571,3,Cruzeiro
293.0,14,3,22,1,16,15,1.0714285714285714,1.1428571428571428,5,Atlético-PR
292.0,14,3,27,1,14,24,1.7142857142857142,1.0,5,Sport
267.0,14,3,12,0,22,7,0.5,1.5714285714285714,4,Vasco
284.0,14,0,26,0,14,17,1.2142857142857142,1.0,4,Grêmio
314.0,14,1,17,0,20,14,1.0,1.4285714285714286,1,Avaí
294.0,14,1,10,0,17,6,0.42857142857142855,1.2142857142857142,5,Coritiba
290.0,14,0,13,0,14,11,0.7857142857142857,1.0,5,Goiás
264.0,14,3,29,1,8,16,1.1428571428571428,0.5714285714285714,10,Corinthians
262.0,14,3,16,1,19,10,0.7142857142857143,1.3571428571428572,4,Flamengo
277.0,14,0,13,0,20,13,0.9285714285714286,1.4285714285714286,3,Santos
282.0,14,0,29,0,11,22,1.5714285714285714,0.7857142857142857,5,Atlético-MG
215.0,14,1,9,1,17,6,0.42857142857142855,1.2142857142857142,3,Joinville
303.0,14,1,18,0,17,11,0.7857142857142857,1.2142857142857142,4,Ponte Preta
285.0,14,3,19,1,16,13,0.9285714285714286,1.1428571428571428,6,Internacional
316.0,14,1,16,1,18,11,0.7857142857142857,1.2857142857142858,2,Figueirense
275.0,15,3,28,0,11,27,1.8,0.7333333333333333,7,Palmeiras
315.0,15,3,22,1,14,13,0.8666666666666667,0.9333333333333333,5,Chapecoense
266.0,15,0,27,0,15,18,1.2,1.0,7,Fluminense
276.0,15,3,27,1,14,17,1.1333333333333333,0.9333333333333333,7,São Paulo
283.0,15,0,17,0,13,12,0.8,0.8666666666666667,3,Cruzeiro
293.0,15,3,25,0,17,16,1.0666666666666667,1.1333333333333333,5,Atlético-PR
292.0,15,1,28,0,15,25,1.6666666666666667,1.0,5,Sport
267.0,15,0,12,1,26,8,0.5333333333333333,1.7333333333333334,4,Vasco
284.0,15,1,27,1,15,17,1.1333333333333333,1.0,4,Grêmio
314.0,15,0,17,1,22,15,1.0,1.4666666666666666,1,Avaí
294.0,15,1,11,1,18,7,0.4666666666666667,1.2,5,Coritiba
290.0,15,0,13,1,15,11,0.7333333333333333,1.0,5,Goiás
264.0,15,1,30,0,9,17,1.1333333333333333,0.6,10,Corinthians
262.0,15,3,19,0,19,11,0.7333333333333333,1.2666666666666666,5,Flamengo
277.0,15,3,16,1,20,15,1.0,1.3333333333333333,4,Santos
282.0,15,3,32,1,11,23,1.5333333333333334,0.7333333333333333,6,Atlético-MG
215.0,15,0,9,0,19,7,0.4666666666666667,1.2666666666666666,3,Joinville
303.0,15,1,19,1,17,11,0.7333333333333333,1.1333333333333333,5,Ponte Preta
