team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
275.0,1,3,3,1,0,4,4.0,0.0,1,Palmeiras
262.0,1,3,3,1,0,1,1.0,0.0,1,Flamengo
282.0,1,3,3,1,0,2,2.0,0.0,1,Atlético-MG
294.0,1,3,3,1,0,1,1.0,0.0,1,Coritiba
263.0,1,0,0,1,1,0,0.0,1.0,0,Botafogo
344.0,1,3,3,1,1,4,4.0,1.0,0,Santa Cruz
264.0,1,1,1,1,0,0,0.0,0.0,1,Corinthians
316.0,1,1,1,1,0,0,0.0,0.0,1,Figueirense
327.0,1,0,0,1,1,0,0.0,1.0,0,América-MG
285.0,1,1,1,1,0,0,0.0,0.0,0,Internacional
287.0,1,0,0,0,4,1,1.0,4.0,0,Vitória
266.0,1,3,3,0,0,0,0.0,0.0,1,Fluminense
283.0,1,0,0,0,1,0,0.0,1.0,0,Cruzeiro
277.0,1,0,0,0,1,0,0.0,1.0,0,Santos
293.0,1,0,0,0,4,0,0.0,4.0,0,Atlético-PR
315.0,1,1,1,0,0,0,0.0,0.0,1,Chapecoense
276.0,1,3,3,0,0,1,1.0,0.0,1,São Paulo
284.0,1,1,1,0,0,0,0.0,0.0,1,Grêmio
303.0,1,1,1,0,0,0,0.0,0.0,1,Ponte Preta
292.0,1,0,0,0,1,0,0.0,1.0,0,Sport
275.0,2,0,3,0,2,5,2.5,1.0,1,Palmeiras
262.0,2,0,3,0,1,1,0.5,0.5,1,Flamengo
282.0,2,1,4,0,1,3,1.5,0.5,1,Atlético-MG
294.0,2,0,3,0,2,2,1.0,1.0,1,Coritiba
263.0,2,1,1,0,2,1,0.5,1.0,0,Botafogo
344.0,2,1,4,0,3,6,3.0,1.5,0,Santa Cruz
264.0,2,0,1,0,3,2,1.0,1.5,1,Corinthians
316.0,2,1,2,0,2,2,1.0,1.0,1,Figueirense
327.0,2,0,0,0,4,0,0.0,2.0,0,América-MG
285.0,2,3,4,0,1,2,1.0,0.5,0,Internacional
287.0,2,3,3,1,6,4,2.0,3.0,0,Vitória
266.0,2,1,4,1,2,2,1.0,1.0,1,Fluminense
283.0,2,1,1,1,3,2,1.0,1.5,0,Cruzeiro
277.0,2,3,3,1,2,2,1.0,1.0,0,Santos
293.0,2,1,1,1,5,1,0.5,2.5,0,Atlético-PR
315.0,2,3,4,1,1,4,2.0,0.5,1,Chapecoense
276.0,2,0,3,1,2,2,1.0,1.0,1,São Paulo
284.0,2,3,4,1,0,1,0.5,0.0,2,Grêmio
303.0,2,3,4,1,1,2,1.0,0.5,1,Ponte Preta
292.0,2,1,1,1,2,1,0.5,1.0,0,Sport
275.0,3,3,6,1,2,7,2.3333333333333335,0.6666666666666666,2,Palmeiras
262.0,3,1,4,1,3,3,1.0,1.0,1,Flamengo
282.0,3,0,4,1,4,3,1.0,1.3333333333333333,1,Atlético-MG
294.0,3,1,4,1,3,3,1.0,1.0,1,Coritiba
263.0,3,3,4,1,3,3,1.0,1.0,0,Botafogo
344.0,3,3,7,1,4,10,3.3333333333333335,1.3333333333333333,0,Santa Cruz
264.0,3,3,4,1,3,4,1.3333333333333333,1.0,2,Corinthians
316.0,3,1,3,1,4,4,1.3333333333333333,1.3333333333333333,1,Figueirense
327.0,3,1,1,1,5,1,0.3333333333333333,1.6666666666666667,0,América-MG
285.0,3,3,7,1,1,2,0.6666666666666666,0.3333333333333333,1,Internacional
287.0,3,1,4,0,7,5,1.6666666666666667,2.3333333333333335,0,Vitória
266.0,3,0,4,0,4,2,0.6666666666666666,1.3333333333333333,1,Fluminense
283.0,3,0,1,0,7,3,1.0,2.3333333333333335,0,Cruzeiro
277.0,3,1,4,0,4,4,1.3333333333333333,1.3333333333333333,0,Santos
293.0,3,0,1,0,7,2,0.6666666666666666,2.3333333333333335,0,Atlético-PR
315.0,3,1,5,0,3,6,2.0,1.0,1,Chapecoense
276.0,3,1,4,0,3,2,0.6666666666666666,1.0,1,São Paulo
284.0,3,3,7,0,0,4,1.3333333333333333,0.0,3,Grêmio
303.0,3,0,4,0,4,2,0.6666666666666666,1.3333333333333333,1,Ponte Preta
292.0,3,0,1,0,3,2,0.6666666666666666,1.0,0,Sport
275.0,4,0,6,0,3,7,1.75,0.75,2,Palmeiras
262.0,4,3,7,0,4,4,1.0,1.0,1,Flamengo
282.0,4,1,5,0,5,5,1.25,1.25,1,Atlético-MG
294.0,4,0,4,0,5,3,0.75,1.25,1,Coritiba
263.0,4,0,4,0,4,3,0.75,1.0,0,Botafogo
344.0,4,1,8,0,5,11,2.75,1.25,0,Santa Cruz
264.0,4,3,7,0,3,6,1.5,0.75,3,Corinthians
316.0,4,0,3,0,6,5,1.25,1.5,1,Figueirense
327.0,4,1,2,0,6,2,0.5,1.5,0,América-MG
285.0,4,3,10,0,1,3,0.75,0.25,2,Internacional
287.0,4,1,5,1,8,6,1.5,2.0,0,Vitória
266.0,4,3,7,1,4,2,0.5,1.0,2,Fluminense
283.0,4,1,2,1,8,4,1.0,2.0,0,Cruzeiro
277.0,4,0,4,1,5,4,1.0,1.25,0,Santos
293.0,4,3,4,1,8,4,1.0,2.0,0,Atlético-PR
315.0,4,1,6,1,4,6,1.5,1.0,1,Chapecoense
276.0,4,3,7,1,3,3,0.75,0.75,2,São Paulo
284.0,4,3,10,1,0,6,1.5,0.0,4,Grêmio
303.0,4,0,4,1,6,3,0.75,1.5,1,Ponte Preta
292.0,4,0,1,1,5,2,0.5,1.25,0,Sport
275.0,5,3,9,1,6,11,2.2,1.2,2,Palmeiras
262.0,5,3,10,1,4,5,1.0,0.8,2,Flamengo
282.0,5,1,6,1,6,6,1.2,1.2,1,Atlético-MG
294.0,5,0,4,1,9,6,1.2,1.8,1,Coritiba
263.0,5,0,4,1,5,3,0.6,1.0,0,Botafogo
344.0,5,0,8,1,6,11,2.2,1.2,0,Santa Cruz
264.0,5,3,10,1,3,7,1.4,0.6,4,Corinthians
316.0,5,3,6,1,6,6,1.2,1.2,2,Figueirense
327.0,5,0,2,1,8,3,0.6,1.6,0,América-MG
285.0,5,3,13,1,1,4,0.8,0.2,3,Internacional
287.0,5,0,5,0,9,6,1.2,1.8,0,Vitória
266.0,5,1,8,0,5,3,0.6,1.0,2,Fluminense
283.0,5,3,5,0,8,5,1.0,1.6,1,Cruzeiro
277.0,5,0,4,0,6,4,0.8,1.2,0,Santos
293.0,5,0,4,0,9,4,0.8,1.8,0,Atlético-PR
315.0,5,3,9,0,7,10,2.0,1.4,1,Chapecoense
276.0,5,0,7,0,4,3,0.6,0.8,2,São Paulo
284.0,5,0,10,0,4,9,1.8,0.8,4,Grêmio
303.0,5,3,7,0,7,5,1.0,1.4,1,Ponte Preta
292.0,5,3,4,0,5,3,0.6,1.0,1,Sport
275.0,6,3,12,0,7,13,2.1666666666666665,1.1666666666666667,2,Palmeiras
262.0,6,0,10,1,6,6,1.0,1.0,2,Flamengo
282.0,6,1,7,0,10,10,1.6666666666666667,1.6666666666666667,1,Atlético-MG
294.0,6,0,4,0,11,6,1.0,1.8333333333333333,1,Coritiba
263.0,6,0,4,0,8,3,0.5,1.3333333333333333,0,Botafogo
344.0,6,0,8,0,7,11,1.8333333333333333,1.1666666666666667,0,Santa Cruz
264.0,6,3,13,1,4,9,1.5,0.6666666666666666,4,Corinthians
316.0,6,0,6,0,7,6,1.0,1.1666666666666667,2,Figueirense
327.0,6,3,5,1,8,4,0.6666666666666666,1.3333333333333333,1,América-MG
285.0,6,0,13,0,2,4,0.6666666666666666,0.3333333333333333,3,Internacional
287.0,6,3,8,1,9,7,1.1666666666666667,1.5,1,Vitória
266.0,6,1,9,0,5,3,0.5,0.8333333333333334,3,Fluminense
283.0,6,0,5,1,9,5,0.8333333333333334,1.5,1,Cruzeiro
277.0,6,3,7,1,6,6,1.0,1.0,1,Santos
293.0,6,3,7,1,9,5,0.8333333333333334,1.5,1,Atlético-PR
315.0,6,1,10,1,7,10,1.6666666666666667,1.1666666666666667,2,Chapecoense
276.0,6,3,10,0,4,4,0.6666666666666666,0.6666666666666666,3,São Paulo
284.0,6,3,13,1,4,11,1.8333333333333333,0.6666666666666666,5,Grêmio
303.0,6,0,7,0,8,5,0.8333333333333334,1.3333333333333333,1,Ponte Preta
292.0,6,1,5,1,9,7,1.1666666666666667,1.5,1,Sport
275.0,7,3,15,1,7,14,2.0,1.0,3,Palmeiras
262.0,7,0,10,0,7,6,0.8571428571428571,1.0,2,Flamengo
