team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
262.0,1,1,1,1,0,0,0.0,0.0,1,Flamengo
266.0,1,3,3,1,0,2,2.0,0.0,1,Fluminense
276.0,1,3,3,1,0,4,4.0,0.0,1,São Paulo
277.0,1,1,1,1,1,1,1.0,1.0,0,Santos
293.0,1,3,3,1,0,1,1.0,0.0,1,Atlético-PR
282.0,1,1,1,1,0,0,0.0,0.0,1,Atlético-MG
265.0,1,0,0,1,2,1,1.0,2.0,0,Bahia
285.0,1,3,3,1,0,1,1.0,0.0,1,Internacional
206.0,1,0,0,1,2,1,1.0,2.0,0,Criciuma
315.0,1,1,1,1,0,0,0.0,0.0,1,Chapecoense
263.0,1,0,0,0,3,0,0.0,3.0,0,Botafogo
292.0,1,1,1,0,1,1,1.0,1.0,0,Sport
264.0,1,1,1,0,0,0,0.0,0.0,1,Corinthians
275.0,1,3,3,0,1,1,1.0,1.0,0,Palmeiras
294.0,1,1,1,0,0,0,0.0,0.0,1,Coritiba
283.0,1,3,3,0,1,2,2.0,1.0,0,Cruzeiro
287.0,1,0,0,0,1,0,0.0,1.0,0,Vitória
284.0,1,0,0,0,1,0,0.0,1.0,0,Grêmio
316.0,1,0,0,0,3,0,0.0,3.0,0,Figueirense
290.0,1,1,1,0,0,0,0.0,0.0,1,Goiás
262.0,2,0,1,0,2,0,0.0,1.0,1,Flamengo
266.0,2,3,6,0,0,3,1.5,0.0,2,Fluminense
276.0,2,1,4,0,1,5,2.5,0.5,1,São Paulo
277.0,2,1,2,0,1,1,0.5,0.5,1,Santos
293.0,2,1,4,0,2,3,1.5,1.0,1,Atlético-PR
282.0,2,0,1,0,2,0,0.0,1.0,1,Atlético-MG
265.0,2,3,3,0,2,3,1.5,1.0,1,Bahia
285.0,2,1,4,0,2,3,1.5,1.0,1,Internacional
206.0,2,0,0,0,3,1,0.5,1.5,0,Criciuma
315.0,2,0,1,0,2,1,0.5,1.0,1,Chapecoense
263.0,2,1,1,1,5,2,1.0,2.5,0,Botafogo
292.0,2,3,4,1,2,3,1.5,1.0,0,Sport
264.0,2,3,4,1,0,2,1.0,0.0,2,Corinthians
275.0,2,0,3,1,2,1,0.5,1.0,0,Palmeiras
294.0,2,1,2,1,0,0,0.0,0.0,2,Coritiba
283.0,2,1,4,1,2,3,1.5,1.0,0,Cruzeiro
