rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
0,36540,262,0.0,0.0,5.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,36612,275,0.0,0.0,8.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
0,37281,283,0.0,0.0,12.0,0.0,tec,,,,,,,,,,,,,,,,,,,False
0,37306,303,0.0,0.0,4.0,0.0,tec,,,,,,,,,,,,,,,,,,,False
0,37604,293,0.0,0.0,6.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37607,275,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37608,264,0.0,0.0,4.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37623,267,0.0,0.0,7.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37644,303,0.0,0.0,10.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37645,267,0.0,0.0,4.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37646,314,0.0,0.0,5.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37652,293,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37655,282,0.0,0.0,8.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,37656,283,0.0,0.0,12.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,37657,275,0.0,0.0,8.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37662,293,0.0,0.0,9.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
0,37663,267,0.0,0.0,3.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
0,37673,294,0.0,0.0,8.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,37674,267,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37688,276,0.0,0.0,11.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37694,283,0.0,0.0,11.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37701,284,0.0,0.0,9.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
0,37718,275,0.0,0.0,6.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37770,284,0.0,0.0,12.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,37792,294,0.0,0.0,6.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37798,283,0.0,0.0,13.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,37840,314,0.0,0.0,6.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,37851,276,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,37919,267,0.0,0.0,11.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,37984,303,0.0,0.0,9.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,38001,265,0.0,0.0,1.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,38021,303,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38062,276,0.0,0.0,5.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,38067,264,0.0,0.0,5.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38100,292,0.0,0.0,6.0,0.0,zag,,,,,,,,,,,,,,,,,,,False
0,38109,263,0.0,0.0,9.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,38138,264,0.0,0.0,5.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38140,275,0.0,0.0,8.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,38150,314,0.0,0.0,8.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38156,315,0.0,0.0,6.0,0.0,gol,,,,,,,,,,,,,,,,,,,False
0,38162,282,0.0,0.0,24.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38196,284,0.0,0.0,12.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38225,267,0.0,0.0,5.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38229,282,0.0,0.0,5.0,0.0,lat,,,,,,,,,,,,,,,,,,,False
0,38230,293,0.0,0.0,12.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38246,282,0.0,0.0,24.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38277,283,0.0,0.0,20.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38279,315,0.0,0.0,7.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38287,263,0.0,0.0,7.0,0.0,ata,,,,,,,,,,,,,,,,,,,False
0,38311,262,0.0,0.0,6.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
0,38315,264,0.0,0.0,22.0,0.0,mei,,,,,,,,,,,,,,,,,,,False
