rodada,atleta_id,clube_id,pontuacao,pontuacao_media,preco,preco_variacao,posicao,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,participou
31,72142,264,4.0,2.11,6.42,0.24,lat,15.0,57.0,1.0,1.0,6.0,6.0,1.0,2.0,,16.0,35.0,1.0,1.0,,3.0,,,,True
31,71787,354,9.7,4.45,6.97,1.56,ata,22.0,26.0,2.0,2.0,8.0,12.0,2.0,3.0,,8.0,19.0,,1.0,,,,,,True
31,72290,275,0.0,4.33,11.78,0.0,gol,,11.0,,,,,,,,,,,2.0,1.0,5.0,24.0,,11.0,False
31,72372,293,4.0,1.7,1.99,0.19,gol,,3.0,,,,,,,,,,,,,1.0,3.0,,4.0,True
31,72359,354,9.5,3.92,9.51,1.05,zag,8.0,20.0,1.0,,,6.0,1.0,,,41.0,14.0,,6.0,,8.0,,,,True
31,73413,217,0.0,-4.0,0.7,0.0,gol,,,,,,,,,,,,,,,,,,2.0,False
31,74213,275,1.2,2.88,6.92,-0.94,mei,7.0,8.0,,,3.0,2.0,1.0,1.0,,4.0,5.0,,,,,,,,True
31,72362,263,2.7,4.39,10.18,0.3,mei,37.0,69.0,3.0,,6.0,15.0,6.0,2.0,1.0,45.0,28.0,,5.0,,,,,,True
31,73384,354,0.2,4.59,5.31,0.32,lat,34.0,35.0,4.0,1.0,,5.0,1.0,1.0,,28.0,27.0,,6.0,1.0,6.0,,,,True
31,73414,217,0.0,5.23,7.57,0.0,gol,1.0,5.0,,,,,,,,,1.0,,,,4.0,18.0,1.0,11.0,False
31,73800,276,0.0,3.18,9.96,0.0,zag,1.0,5.0,,,,3.0,,,,6.0,5.0,,1.0,,2.0,,,,False
31,73703,217,0.0,2.98,5.09,0.0,mei,33.0,14.0,1.0,,2.0,9.0,,,,29.0,25.0,,5.0,,,,,,False
31,73620,276,12.4,4.31,12.05,0.81,zag,17.0,23.0,,1.0,5.0,4.0,2.0,6.0,,30.0,36.0,,7.0,,11.0,,,,True
31,73515,292,8.9,2.68,7.43,2.1,mei,44.0,58.0,2.0,1.0,7.0,11.0,4.0,3.0,1.0,20.0,22.0,,2.0,,,,,2.0,True
31,73918,315,-1.2,1.72,6.61,-0.45,mei,20.0,112.0,2.0,1.0,3.0,7.0,2.0,,,38.0,37.0,,4.0,,,,,,True
31,73766,276,5.95,4.55,12.91,0.19,tec,,,,,,,,,,,,,,,,,,,True
31,73936,267,0.0,2.43,7.14,0.0,mei,17.0,52.0,1.0,,1.0,3.0,,,,52.0,35.0,,3.0,1.0,,,,,False
