team,round,result_match,championship_score,home_team,goals_conceded,goals_scored,ag_scored,ag_conceded,wcg,clube_nome
315.0,28,3,31,1,40.0,22.0,0.7857142857142857,1.4285714285714286,6.0,Chapecoense
265.0,28,1,31,0,34.0,22.0,0.7857142857142857,1.2142857142857142,8.0,Bahia
266.0,28,3,37,1,32.0,27.0,0.9642857142857143,1.1428571428571428,10.0,Fluminense
262.0,28,3,53,0,22.0,31.0,1.1071428571428572,0.7857142857142857,13.0,Flamengo
354.0,28,3,31,0,26.0,16.0,0.5714285714285714,0.9285714285714286,9.0,Ceará-SC
292.0,28,3,27,1,42.0,17.0,0.6071428571428571,1.5,6.0,Sport
275.0,28,3,56,0,18.0,42.0,1.5,0.6428571428571429,15.0,Palmeiras
284.0,28,1,51,1,16.0,34.0,1.2142857142857142,0.5714285714285714,17.0,Grêmio
283.0,29,0,37,0,25.0,21.0,0.7241379310344828,0.8620689655172413,9.0,Cruzeiro
293.0,29,3,39,1,27.0,35.0,1.206896551724138,0.9310344827586207,12.0,Atlético-PR
327.0,29,1,33,0,34.0,21.0,0.7241379310344828,1.1724137931034482,10.0,América-MG
287.0,29,3,32,0,49.0,22.0,0.7586206896551724,1.6896551724137931,9.0,Vitória
267.0,29,3,34,1,38.0,29.0,1.0,1.3103448275862069,4.0,Vasco
263.0,29,1,35,0,39.0,27.0,0.9310344827586207,1.3448275862068966,7.0,Botafogo
276.0,29,0,52,0,27.0,39.0,1.3448275862068966,0.9310344827586207,11.0,São Paulo
277.0,29,3,42,1,24.0,30.0,1.0344827586206897,0.8275862068965517,13.0,Santos
264.0,29,0,35,0,27.0,21.0,0.7241379310344828,0.9310344827586207,10.0,Corinthians
285.0,29,3,56,1,20.0,38.0,1.3103448275862069,0.6896551724137931,14.0,Internacional
282.0,29,1,46,1,34.0,37.0,1.2758620689655173,1.1724137931034482,8.0,Atlético-MG
217.0,29,0,17,0,43.0,11.0,0.3793103448275862,1.4827586206896552,4.0,Paraná
315.0,29,0,31,1,41.0,22.0,0.7586206896551724,1.4137931034482758,6.0,Chapecoense
265.0,29,3,34,1,34.0,24.0,0.8275862068965517,1.1724137931034482,9.0,Bahia
266.0,29,0,37,0,35.0,27.0,0.9310344827586207,1.206896551724138,10.0,Fluminense
262.0,29,3,56,1,22.0,34.0,1.1724137931034482,0.7586206896551724,14.0,Flamengo
354.0,29,1,32,1,26.0,16.0,0.5517241379310345,0.896551724137931,10.0,Ceará-SC
292.0,29,0,27,0,46.0,17.0,0.5862068965517241,1.5862068965517242,6.0,Sport
275.0,29,3,59,1,18.0,44.0,1.5172413793103448,0.6206896551724138,16.0,Palmeiras
284.0,29,0,51,0,18.0,34.0,1.1724137931034482,0.6206896551724138,17.0,Grêmio
283.0,30,3,40,1,25.0,24.0,0.8,0.8333333333333334,10.0,Cruzeiro
293.0,30,1,40,0,27.0,35.0,1.1666666666666667,0.9,13.0,Atlético-PR
327.0,30,1,34,1,35.0,22.0,0.7333333333333333,1.1666666666666667,10.0,América-MG
287.0,30,1,33,1,51.0,24.0,0.8,1.7,9.0,Vitória
267.0,30,0,34,0,40.0,30.0,1.0,1.3333333333333333,4.0,Vasco
263.0,30,0,35,1,40.0,27.0,0.9,1.3333333333333333,7.0,Botafogo
276.0,30,1,53,1,27.0,39.0,1.3,0.9,12.0,São Paulo
277.0,30,1,43,0,26.0,31.0,1.0333333333333334,0.8666666666666667,13.0,Santos
264.0,30,1,36,0,29.0,23.0,0.7666666666666667,0.9666666666666667,10.0,Corinthians
285.0,30,1,57,1,22.0,40.0,1.3333333333333333,0.7333333333333333,14.0,Internacional
282.0,30,0,46,0,35.0,37.0,1.2333333333333334,1.1666666666666667,8.0,Atlético-MG
217.0,30,0,17,1,47.0,11.0,0.36666666666666664,1.5666666666666667,4.0,Paraná
315.0,30,0,31,0,44.0,22.0,0.7333333333333333,1.4666666666666666,6.0,Chapecoense
